City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,nantucket,41.2835,-70.0995,7.08,89,100,6.17,US,1674437156
272,gat,31.61,34.7642,16.89,81,88,0.23,IL,1674437157
273,constitucion,-35.3333,-72.4167,15.68,83,0,6.56,CL,1674437157
274,that phanom,16.9364,104.7104,19.09,67,65,1.79,TH,1674436937
275,kaitangata,-46.2817,169.8464,17.13,43,14,4.65,NZ,1674437158
276,codrington,-38.2667,141.9667,22.39,55,48,2.78,AU,1674437158
277,hamilton,39.1834,-84.5333,1.47,93,100,2.06,US,1674437159
278,torres,-29.3353,-49.7269,24.35,90,61,1.98,BR,1674437159
279,concepcion del oro,24.6333,-101.4167,10.46,15,98,0.89,MX,1674437160
280,chunskiy,56.0815,99.6342,-39.8,97,100,1.87,RU,1674437160
281,vestmanna,62.1564,-7.1664,5.51,81,75,3.6,FO,1674437160
282,shingu,33.7333,135.9833,7.97,81,97,1.28,JP,1674436862
283,kidal,18.4411,1.4078,20.98,14,0,3.75,ML,1674437161
284,ola,59.5833,151.2833,-25.91,82,41,4.09,RU,1674437162
285,colac,-38.3333,143.5833,23.43,42,90,1.92,AU,1674437162
286,mwense,-10.3845,28.698,18.55,97,100,0.55,ZM,1674437163
287,milkovo,54.7167,158.6167,-25.57,85,23,0.12,RU,1674437163
288,kampot,10.6167,104.1833,27.03,75,83,0.48,KH,1674437164
289,corrientes,-27.4806,-58.8341,29.99,54,0,3.09,AR,1674437164
290,kitgum,3.2783,32.8867,23.92,33,97,1.12,UG,1674437164
291,puerto salgar,5.463,-74.6544,23.87,89,100,0.25,CO,1674437165
292,kruisfontein,-34.0033,24.7314,19.94,96,7,1.36,ZA,1674437166
293,iqaluit,63.7506,-68.5145,-20.15,77,100,9.26,CA,1674437166
294,san patricio,28.017,-97.5169,16.92,32,0,3.71,US,1674437167
295,lokosovo,61.1333,74.8167,-12.6,96,95,3.07,RU,1674437167
296,nevelsk,46.6733,141.8633,-11.85,85,100,0.73,RU,1674437167
297,russell,32.3502,-85.1999,11.6,100,75,2.57,US,1674437168
298,monrovia,6.3005,-10.7969,26.01,88,100,3.64,LR,1674437169
299,sinnamary,5.3833,-52.95,24.85,86,100,6.01,GF,1674437169
300,kuchinarai,16.541,104.05,20.76,39,72,1.42,TH,1674437170
301,isla mujeres,21.2311,-86.731,26.03,79,0,5.28,MX,1674437170
302,verkhoyansk,67.5447,133.385,-48.26,100,98,0.64,RU,1674437171
303,port hedland,-20.3167,118.5667,33.03,49,12,1.54,AU,1674437171
304,zrece,46.3822,15.3792,1.29,84,100,3.19,SI,1674437171
305,tharad,24.3961,71.6267,10.8,73,0,4.34,IN,1674437172
306,panama city,8.9936,-79.5197,26.58,81,75,3.09,PA,1674437172
307,puerto rondon,6.2805,-71.1,26.25,56,100,2.28,CO,1674437173
308,puerto montt,-41.4698,-72.9447,16.46,94,0,1.54,CL,1674437173
309,katrineholm,58.9959,16.2072,-4.06,98,19,1.59,SE,1674437173
310,rincon,32.296,-81.2354,16.98,96,75,7.2,US,1674437174
311,camargo,27.6667,-105.1667,13.52,13,0,3.96,MX,1674437174
312,kenora,49.8167,-94.4337,-9.46,92,40,5.14,CA,1674437175
313,tiksi,71.6872,128.8694,-29.89,96,100,2.15,RU,1674437175
314,balaipungut,1.05,101.2833,23.67,95,100,0.96,ID,1674437176
315,mikhaylovka,50.06,43.2379,-7.39,86,100,3.64,RU,1674437176
316,port hardy,50.6996,-127.4199,5.1,87,100,6.17,CA,1674437177
317,matagami,49.7502,-77.6328,-3.94,93,100,2.57,CA,1674437177
318,talakan,50.3167,130.3667,-36.42,96,100,0.91,RU,1674437177
